num_samples,time_bits,shots,shots_per_sample,seed,observed_indices,missing_indices,coverage_fraction,exact_reconstruction,minimum_index_count,maximum_index_count,count_standard_deviation,count_coefficient_of_variation,time_distribution_tvd
4,2,8,2.0,142,3,1,0.75,False,0,4,1.5811388300841898,0.7905694150420949,0.375
4,2,8,2.0,152,4,0,1.0,True,1,5,1.7320508075688772,0.8660254037844386,0.375
4,2,8,2.0,162,3,1,0.75,False,0,3,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,172,4,0,1.0,True,1,4,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,182,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,192,3,1,0.75,False,0,4,1.4142135623730951,0.7071067811865476,0.25
4,2,8,2.0,202,4,0,1.0,True,1,4,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,212,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,222,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,232,4,0,1.0,True,2,2,0.0,0.0,0.0
4,2,8,2.0,242,3,1,0.75,False,0,4,1.4142135623730951,0.7071067811865476,0.25
4,2,8,2.0,252,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,262,3,1,0.75,False,0,3,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,272,4,0,1.0,True,2,2,0.0,0.0,0.0
4,2,8,2.0,282,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,292,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,302,3,1,0.75,False,0,3,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,312,4,0,1.0,True,2,2,0.0,0.0,0.0
4,2,8,2.0,322,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,332,4,0,1.0,True,1,3,1.0,0.5,0.25
4,2,8,2.0,342,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,352,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,362,4,0,1.0,True,1,3,1.0,0.5,0.25
4,2,8,2.0,372,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,382,4,0,1.0,True,1,4,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,392,4,0,1.0,True,1,4,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,402,4,0,1.0,True,1,4,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,412,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,422,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,432,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
