family,severity,severity_index,single_qubit_error,two_qubit_error,readout_error,seed_simulator,simulation_seconds,shots,observed_indices,coverage_fraction,modal_correct_indices,modal_amplitude_accuracy,normalized_modal_mae,correct_basis_shot_fraction,amplitude_bit_error_rate,joint_distribution_tvd,time_distribution_tvd,exact_reconstruction,num_samples,amplitude_bits,time_bits,total_qubits,data_seed,seed_transpiler,optimization_level,transpiled_depth,transpiled_size,transpiled_cx_count
combined,moderate,2,0.001,0.01,0.01,42,0.03198440000414848,1024,4,1.0,4,1.0,0.0,0.697265625,0.129150390625,0.302734375,0.0166015625,True,4,4,2,6,42,42,1,95,153,54
combined,moderate,2,0.001,0.01,0.01,52,0.03099540004041046,1024,4,1.0,4,1.0,0.0,0.6572265625,0.1416015625,0.3427734375,0.0244140625,True,4,4,2,6,42,42,1,95,153,54
combined,moderate,2,0.001,0.01,0.01,62,0.03177539992611855,1024,4,1.0,4,1.0,0.0,0.677734375,0.14501953125,0.322265625,0.0380859375,True,4,4,2,6,42,42,1,95,153,54
combined,moderate,2,0.001,0.01,0.01,72,0.032079100026749074,1024,4,1.0,4,1.0,0.0,0.68359375,0.12890625,0.31640625,0.01171875,True,4,4,2,6,42,42,1,95,153,54
combined,moderate,2,0.001,0.01,0.01,82,0.032931900001131,1024,4,1.0,4,1.0,0.0,0.6533203125,0.154296875,0.3466796875,0.0234375,True,4,4,2,6,42,42,1,95,153,54
gate,high,3,0.002,0.02,0.0,42,0.026418800000101328,1024,4,1.0,4,1.0,0.0,0.5380859375,0.208251953125,0.4619140625,0.021484375,True,4,4,2,6,42,42,1,95,153,54
gate,high,3,0.002,0.02,0.0,52,0.024145199917256832,1024,4,1.0,4,1.0,0.0,0.513671875,0.216796875,0.486328125,0.03125,True,4,4,2,6,42,42,1,95,153,54
gate,high,3,0.002,0.02,0.0,62,0.025081900064833462,1024,4,1.0,4,1.0,0.0,0.5048828125,0.2255859375,0.4951171875,0.03125,True,4,4,2,6,42,42,1,95,153,54
gate,high,3,0.002,0.02,0.0,72,0.024988600052893162,1024,4,1.0,4,1.0,0.0,0.5068359375,0.22509765625,0.4931640625,0.015625,True,4,4,2,6,42,42,1,95,153,54
gate,high,3,0.002,0.02,0.0,82,0.023264699964784086,1024,4,1.0,4,1.0,0.0,0.494140625,0.231689453125,0.505859375,0.0322265625,True,4,4,2,6,42,42,1,95,153,54
