num_samples,family,severity,severity_index,single_qubit_error,two_qubit_error,readout_error,amplitude_bits,time_bits,total_qubits,shots,runs,transpiled_depth,transpiled_size,transpiled_cx_count,exact_reconstruction_successes,exact_reconstruction_rate,exact_rate_wilson_95_low,exact_rate_wilson_95_high,coverage_fraction_mean,coverage_fraction_std,coverage_fraction_min,coverage_fraction_max,modal_amplitude_accuracy_mean,modal_amplitude_accuracy_std,modal_amplitude_accuracy_min,modal_amplitude_accuracy_max,normalized_modal_mae_mean,normalized_modal_mae_std,normalized_modal_mae_min,normalized_modal_mae_max,correct_basis_shot_fraction_mean,correct_basis_shot_fraction_std,correct_basis_shot_fraction_min,correct_basis_shot_fraction_max,amplitude_bit_error_rate_mean,amplitude_bit_error_rate_std,amplitude_bit_error_rate_min,amplitude_bit_error_rate_max,joint_distribution_tvd_mean,joint_distribution_tvd_std,joint_distribution_tvd_min,joint_distribution_tvd_max,time_distribution_tvd_mean,time_distribution_tvd_std,time_distribution_tvd_min,time_distribution_tvd_max,simulation_seconds_mean,simulation_seconds_std,simulation_seconds_min,simulation_seconds_max
4,combined,severe,4,0.005,0.05,0.05,4,2,6,1024,5,95,153,54,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1787109375,0.006974051199748877,0.1669921875,0.18359375,0.390380859375,0.010831977808339364,0.375244140625,0.399658203125,0.8212890625,0.006974051199748877,0.81640625,0.8330078125,0.0216796875,0.007418019146419119,0.0126953125,0.029296875,0.02993797999806702,0.0015320430764505406,0.02826129994355142,0.03182789997663349
4,gate,severe,4,0.005,0.05,0.0,4,2,6,1024,5,95,153,54,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.222265625,0.007830789139347443,0.21484375,0.234375,0.366943359375,0.012696486198749793,0.353759765625,0.38134765625,0.777734375,0.007830789139347443,0.765625,0.78515625,0.0263671875,0.007437278423695223,0.015625,0.0322265625,0.02769565999042243,0.003460235642590638,0.024551199981942773,0.033446599962189794
4,readout,severe,4,0.0,0.0,0.05,4,2,6,1024,5,95,153,54,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7326171875,0.011767476821400053,0.71875,0.74609375,0.093701171875,0.00795126698792443,0.083251953125,0.10205078125,0.2673828125,0.011767476821400053,0.25390625,0.28125,0.0216796875,0.007418019146419119,0.0126953125,0.029296875,0.018498179968446493,0.003933313398591744,0.01641190005466342,0.025522399926558137
8,ideal,ideal,0,0.0,0.0,0.0,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04296875,0.011134525635733769,0.0283203125,0.0595703125,0.04296875,0.011134525635733769,0.0283203125,0.0595703125,0.031003659986890853,0.0014406612863336057,0.029207499930635095,0.032812400022521615
8,combined,low,1,0.0005,0.005,0.005,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4638671875,0.003966815627263653,0.458984375,0.4697265625,0.2384765625,0.005703179346113066,0.2314453125,0.24609375,0.5361328125,0.003966815627263653,0.5302734375,0.541015625,0.04375,0.01285209677840789,0.029296875,0.064453125,0.1612445600097999,0.00673406136625693,0.1532082000048831,0.16885500005446374
8,gate,low,1,0.0005,0.005,0.0,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4763671875,0.006529107285330773,0.46875,0.4853515625,0.233984375,0.006611209118897537,0.225830078125,0.241943359375,0.5236328125,0.006529107285330773,0.5146484375,0.53125,0.04296875,0.011134525635733769,0.0283203125,0.0595703125,0.17010337996762245,0.009659941907109107,0.1581233999459073,0.18501439993269742
8,readout,low,1,0.0,0.0,0.005,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9701171875,0.006994533038855462,0.9619140625,0.9794921875,0.008984375,0.0023122579087014794,0.005859375,0.011474609375,0.0580078125,0.010417683869605145,0.04296875,0.068359375,0.04375,0.01285209677840789,0.029296875,0.064453125,0.03998237999621779,0.0031966385529821357,0.03687690000515431,0.04380510002374649
8,combined,moderate,2,0.001,0.01,0.01,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2423828125,0.007189516530978891,0.234375,0.2509765625,0.3638671875,0.006966782775471084,0.356689453125,0.37451171875,0.7576171875,0.007189516530978891,0.7490234375,0.765625,0.044140625,0.00945300393775786,0.0341796875,0.0595703125,0.15132135997992008,0.006405718517126479,0.14546649996191263,0.16166610002983361
8,gate,moderate,2,0.001,0.01,0.0,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2513671875,0.007800283417076507,0.240234375,0.259765625,0.358251953125,0.00874077992361641,0.3505859375,0.37255859375,0.7486328125,0.007800283417076507,0.740234375,0.759765625,0.04296875,0.011134525635733769,0.0283203125,0.0595703125,0.1551253200042993,0.012598933815238843,0.14100150007288903,0.17341689998283982
8,readout,moderate,2,0.0,0.0,0.01,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.940625,0.010728862474197085,0.9296875,0.955078125,0.0181640625,0.003532032297628273,0.01318359375,0.021484375,0.078125,0.009056268062007523,0.0634765625,0.0849609375,0.044140625,0.00945300393775786,0.0341796875,0.0595703125,0.03425493997056037,0.0014537659322858536,0.03216359997168183,0.03580309997778386
8,combined,high,3,0.002,0.02,0.02,4,3,7,1024,5,454,557,236,0,0.0,0.0,0.43448246478317476,1.0,0.0,1.0,1.0,0.275,0.10458250331675945,0.125,0.375,0.32,0.0641720776939282,0.21666666666666665,0.38333333333333336,0.1025390625,0.005027163154778809,0.0947265625,0.1083984375,0.45556640625,0.00514725796931348,0.44970703125,0.463623046875,0.8974609375,0.005027163154778809,0.8916015625,0.9052734375,0.042578125,0.006313761670017427,0.0380859375,0.0537109375,0.14704056000337004,0.0036963663004319983,0.1421699000056833,0.15095829998608679
8,gate,high,3,0.002,0.02,0.0,4,3,7,1024,5,454,557,236,0,0.0,0.0,0.43448246478317476,1.0,0.0,1.0,1.0,0.3,0.14252192813739226,0.125,0.5,0.325,0.06666666666666668,0.24166666666666667,0.4,0.1078125,0.0022482157096135424,0.1044921875,0.1103515625,0.4529296875,0.005293968641141414,0.447021484375,0.4609375,0.8921875,0.0022482157096135424,0.8896484375,0.8955078125,0.04296875,0.011134525635733769,0.0283203125,0.0595703125,0.1416961199603975,0.0027998807426899545,0.13787929993122816,0.1443640999495983
8,readout,high,3,0.0,0.0,0.02,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8857421875,0.017699774375382674,0.8603515625,0.9013671875,0.035107421875,0.00597621143781025,0.028564453125,0.043212890625,0.1205078125,0.013364999044627374,0.1064453125,0.1396484375,0.042578125,0.006313761670017427,0.0380859375,0.0537109375,0.029821120016276837,0.0005849343614120838,0.029262099997140467,0.03079220000654459
8,combined,severe,4,0.005,0.05,0.05,4,3,7,1024,5,454,557,236,0,0.0,0.0,0.43448246478317476,1.0,0.0,1.0,1.0,0.025,0.05590169943749474,0.0,0.125,0.45666666666666667,0.03970376416523866,0.41666666666666663,0.5083333333333333,0.059765625,0.002620392161132566,0.0556640625,0.0625,0.4962890625,0.009040458446119623,0.487548828125,0.510009765625,0.940234375,0.002620392161132566,0.9375,0.9443359375,0.0376953125,0.005802129209965996,0.0283203125,0.0439453125,0.14730360002722592,0.0029323260490584065,0.14405410003382713,0.1520557999610901
8,gate,severe,4,0.005,0.05,0.0,4,3,7,1024,5,454,557,236,0,0.0,0.0,0.43448246478317476,1.0,0.0,1.0,1.0,0.05,0.06846531968814576,0.0,0.125,0.43833333333333335,0.10131085276952757,0.31666666666666665,0.5666666666666667,0.0611328125,0.005419701924027972,0.052734375,0.06640625,0.4927734375,0.008931343465733767,0.48291015625,0.50244140625,0.9388671875,0.005419701924027972,0.93359375,0.947265625,0.04296875,0.011134525635733769,0.0283203125,0.0595703125,0.1407049800036475,0.0023295473585378565,0.136905400082469,0.1432799999602139
8,readout,severe,4,0.0,0.0,0.05,4,3,7,1024,5,454,557,236,5,1.0,0.5655175352168251,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.721875,0.01798572567690834,0.6962890625,0.740234375,0.091943359375,0.0060214205480824965,0.083251953125,0.098876953125,0.278125,0.01798572567690834,0.259765625,0.3037109375,0.0376953125,0.005802129209965996,0.0283203125,0.0439453125,0.029487860016524793,0.000801006006224038,0.0287978999549523,0.0307241000700742
