backend_name,backend_class,num_samples,condition,runs,shots,amplitude_bits,time_bits,logical_qubits,gate_error_enabled,readout_error_enabled,thermal_relaxation_enabled,exact_reconstruction_successes,exact_reconstruction_rate,exact_rate_wilson_95_low,exact_rate_wilson_95_high,seed_transpiler,initial_layout,final_layout,coverage_fraction_mean,coverage_fraction_std,coverage_fraction_min,coverage_fraction_max,modal_amplitude_accuracy_mean,modal_amplitude_accuracy_std,modal_amplitude_accuracy_min,modal_amplitude_accuracy_max,normalized_modal_mae_mean,normalized_modal_mae_std,normalized_modal_mae_min,normalized_modal_mae_max,correct_basis_shot_fraction_mean,correct_basis_shot_fraction_std,correct_basis_shot_fraction_min,correct_basis_shot_fraction_max,amplitude_bit_error_rate_mean,amplitude_bit_error_rate_std,amplitude_bit_error_rate_min,amplitude_bit_error_rate_max,joint_distribution_tvd_mean,joint_distribution_tvd_std,joint_distribution_tvd_min,joint_distribution_tvd_max,time_distribution_tvd_mean,time_distribution_tvd_std,time_distribution_tvd_min,time_distribution_tvd_max,simulation_seconds_mean,simulation_seconds_std,simulation_seconds_min,simulation_seconds_max,transpiled_depth_mean,transpiled_depth_std,transpiled_depth_min,transpiled_depth_max,transpiled_size_mean,transpiled_size_std,transpiled_size_min,transpiled_size_max,two_qubit_gate_count_mean,two_qubit_gate_count_std,two_qubit_gate_count_min,two_qubit_gate_count_max,swap_count_mean,swap_count_std,swap_count_min,swap_count_max,calibrated_gate_count_mean,calibrated_gate_count_std,calibrated_gate_count_min,calibrated_gate_count_max,missing_calibration_count_mean,missing_calibration_count_std,missing_calibration_count_min,missing_calibration_count_max,calibration_error_budget_mean,calibration_error_budget_std,calibration_error_budget_min,calibration_error_budget_max,independent_gate_success_proxy_mean,independent_gate_success_proxy_std,independent_gate_success_proxy_min,independent_gate_success_proxy_max,calibrated_duration_seconds_mean,calibrated_duration_seconds_std,calibrated_duration_seconds_min,calibrated_duration_seconds_max,selected_readout_error_mean_mean,selected_readout_error_mean_std,selected_readout_error_mean_min,selected_readout_error_mean_max,selected_readout_error_max_mean,selected_readout_error_max_std,selected_readout_error_max_min,selected_readout_error_max_max,selected_t1_seconds_mean_mean,selected_t1_seconds_mean_std,selected_t1_seconds_mean_min,selected_t1_seconds_mean_max,selected_t2_seconds_mean_mean,selected_t2_seconds_mean_std,selected_t2_seconds_mean_min,selected_t2_seconds_mean_max
fake_nairobi,FakeNairobiV2,4,full_calibration,3,2048,4,2,6,True,True,True,3,1.0,0.4385029682449546,1.0,42,4-3-2-0-5-1,1-4-2-0-5-3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3968098958333333,0.012259003943782909,0.38525390625,0.40966796875,0.24910481770833334,0.010975698344287516,0.2371826171875,0.2587890625,0.6031901041666666,0.012259003943782909,0.59033203125,0.61474609375,0.019205729166666668,0.0029834477180702085,0.0166015625,0.0224609375,0.1124658666473503,0.0039415616725063315,0.10913999995682389,0.11681949999183416,191.0,0.0,191.0,191.0,255.0,0.0,255.0,255.0,92.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,249.0,0.0,249.0,249.0,0.0,0.0,0.0,0.0,0.8193746061675562,0.0,0.8193746061675562,0.8193746061675562,0.4407071838945501,0.0,0.4407071838945501,0.4407071838945501,3.907555555555556e-05,0.0,3.907555555555556e-05,3.907555555555556e-05,0.026716666666666666,0.0,0.026716666666666666,0.026716666666666666,0.05800000000000005,0.0,0.05800000000000005,0.05800000000000005,9.940685236631248e-05,0.0,9.940685236631248e-05,9.940685236631248e-05,7.72489665936874e-05,0.0,7.72489665936874e-05,7.72489665936874e-05
fake_nairobi,FakeNairobiV2,4,full_calibration,3,2048,4,2,6,True,True,True,3,1.0,0.4385029682449546,1.0,52,4-1-2-5-3-0,5-0-2-4-3-1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4070638020833333,0.0035991771464023406,0.404296875,0.4111328125,0.24727376302083334,0.0011342252494113245,0.246337890625,0.24853515625,0.5929361979166666,0.0035991771464023406,0.5888671875,0.595703125,0.0126953125,0.004809012598533254,0.0087890625,0.01806640625,0.11256479995790869,0.002452270692824815,0.1097518999595195,0.11425290000624955,188.0,0.0,188.0,188.0,255.0,0.0,255.0,255.0,92.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,249.0,0.0,249.0,249.0,0.0,0.0,0.0,0.0,0.7896048515821539,0.0,0.7896048515821539,0.7896048515821539,0.4540241667720056,0.0,0.4540241667720056,0.4540241667720056,3.6266666666666656e-05,0.0,3.6266666666666656e-05,3.6266666666666656e-05,0.026716666666666666,0.0,0.026716666666666666,0.026716666666666666,0.05800000000000005,0.0,0.05800000000000005,0.05800000000000005,9.940685236631248e-05,0.0,9.940685236631248e-05,9.940685236631248e-05,7.72489665936874e-05,0.0,7.72489665936874e-05,7.72489665936874e-05
fake_nairobi,FakeNairobiV2,4,full_calibration,3,2048,4,2,6,True,True,True,3,1.0,0.4385029682449546,1.0,62,2-5-1-6-3-4,2-1-4-6-3-5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3828125,0.009354123076498055,0.3720703125,0.38916015625,0.2591552734375,0.006473180460724049,0.2535400390625,0.2662353515625,0.6171875,0.009354123076498055,0.61083984375,0.6279296875,0.016276041666666668,0.004430552600526106,0.01123046875,0.01953125,0.10736286667330812,0.0019217715272224776,0.10519220004789531,0.10884739994071424,181.0,0.0,181.0,181.0,248.0,0.0,248.0,248.0,92.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,242.0,0.0,242.0,242.0,0.0,0.0,0.0,0.0,0.8653941804161193,0.0,0.8653941804161193,0.8653941804161193,0.42088561505791755,0.0,0.42088561505791755,0.42088561505791755,4.044799999999999e-05,0.0,4.044799999999999e-05,4.044799999999999e-05,0.021349999999999997,0.0,0.021349999999999997,0.021349999999999997,0.025800000000000045,0.0,0.025800000000000045,0.025800000000000045,9.732658242807076e-05,0.0,9.732658242807076e-05,9.732658242807076e-05,9.565223598225018e-05,0.0,9.565223598225018e-05,9.565223598225018e-05
fake_nairobi,FakeNairobiV2,4,full_calibration,3,2048,4,2,6,True,True,True,3,1.0,0.4385029682449546,1.0,72,4-3-2-0-5-1,1-3-2-0-4-5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3992513020833333,0.005659289925362535,0.3955078125,0.40576171875,0.2481689453125,0.004145001671472082,0.243408203125,0.2509765625,0.6007486979166666,0.005659289925362535,0.59423828125,0.6044921875,0.023274739583333332,0.009696205083728177,0.015625,0.0341796875,0.10939033333367358,0.0016796755501572354,0.10805349994916469,0.11127570003736764,190.0,0.0,190.0,190.0,246.0,0.0,246.0,246.0,94.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.8357893642050573,0.0,0.8357893642050573,0.8357893642050573,0.4335321315849941,0.0,0.4335321315849941,0.4335321315849941,3.9921777777777783e-05,0.0,3.9921777777777783e-05,3.9921777777777783e-05,0.026716666666666666,0.0,0.026716666666666666,0.026716666666666666,0.05800000000000005,0.0,0.05800000000000005,0.05800000000000005,9.940685236631248e-05,0.0,9.940685236631248e-05,9.940685236631248e-05,7.72489665936874e-05,0.0,7.72489665936874e-05,7.72489665936874e-05
fake_nairobi,FakeNairobiV2,4,full_calibration,3,2048,4,2,6,True,True,True,3,1.0,0.4385029682449546,1.0,82,4-3-2-0-5-1,1-3-2-0-4-5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3992513020833333,0.005659289925362535,0.3955078125,0.40576171875,0.2481689453125,0.004145001671472082,0.243408203125,0.2509765625,0.6007486979166666,0.005659289925362535,0.59423828125,0.6044921875,0.023274739583333332,0.009696205083728177,0.015625,0.0341796875,0.11364476666009675,0.003105301242091937,0.11117409996222705,0.11713060003239661,190.0,0.0,190.0,190.0,246.0,0.0,246.0,246.0,94.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.8357893642050573,0.0,0.8357893642050573,0.8357893642050573,0.4335321315849941,0.0,0.4335321315849941,0.4335321315849941,3.9921777777777783e-05,0.0,3.9921777777777783e-05,3.9921777777777783e-05,0.026716666666666666,0.0,0.026716666666666666,0.026716666666666666,0.05800000000000005,0.0,0.05800000000000005,0.05800000000000005,9.940685236631248e-05,0.0,9.940685236631248e-05,9.940685236631248e-05,7.72489665936874e-05,0.0,7.72489665936874e-05,7.72489665936874e-05
fake_nairobi,FakeNairobiV2,4,gate_thermal,3,2048,4,2,6,True,False,True,3,1.0,0.4385029682449546,1.0,42,4-3-2-0-5-1,1-4-2-0-5-3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4541015625,0.015183898247525598,0.4375,0.46728515625,0.22224934895833334,0.011475475089239793,0.210693359375,0.233642578125,0.5458984375,0.015183898247525598,0.53271484375,0.5625,0.019205729166666668,0.003139209232094061,0.015625,0.021484375,0.09525766666047275,0.001850117946135374,0.09403449995443225,0.09738609998021275,191.0,0.0,191.0,191.0,255.0,0.0,255.0,255.0,92.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,249.0,0.0,249.0,249.0,0.0,0.0,0.0,0.0,0.8193746061675562,0.0,0.8193746061675562,0.8193746061675562,0.4407071838945501,0.0,0.4407071838945501,0.4407071838945501,3.907555555555556e-05,0.0,3.907555555555556e-05,3.907555555555556e-05,0.026716666666666666,0.0,0.026716666666666666,0.026716666666666666,0.05800000000000005,0.0,0.05800000000000005,0.05800000000000005,9.940685236631248e-05,0.0,9.940685236631248e-05,9.940685236631248e-05,7.72489665936874e-05,0.0,7.72489665936874e-05,7.72489665936874e-05
fake_nairobi,FakeNairobiV2,4,gate_thermal,3,2048,4,2,6,True,False,True,3,1.0,0.4385029682449546,1.0,52,4-1-2-5-3-0,5-0-2-4-3-1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.46630859375,0.008471363072703844,0.45654296875,0.4716796875,0.2215576171875,0.0014800238834206715,0.220703125,0.2232666015625,0.53369140625,0.008471363072703844,0.5283203125,0.54345703125,0.011393229166666666,0.005701262984419595,0.00634765625,0.017578125,0.10290963330771774,0.005986063029037067,0.099005899974145,0.10980149998795241,188.0,0.0,188.0,188.0,255.0,0.0,255.0,255.0,92.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,249.0,0.0,249.0,249.0,0.0,0.0,0.0,0.0,0.7896048515821539,0.0,0.7896048515821539,0.7896048515821539,0.4540241667720056,0.0,0.4540241667720056,0.4540241667720056,3.6266666666666656e-05,0.0,3.6266666666666656e-05,3.6266666666666656e-05,0.026716666666666666,0.0,0.026716666666666666,0.026716666666666666,0.05800000000000005,0.0,0.05800000000000005,0.05800000000000005,9.940685236631248e-05,0.0,9.940685236631248e-05,9.940685236631248e-05,7.72489665936874e-05,0.0,7.72489665936874e-05,7.72489665936874e-05
fake_nairobi,FakeNairobiV2,4,gate_thermal,3,2048,4,2,6,True,False,True,3,1.0,0.4385029682449546,1.0,62,2-5-1-6-3-4,2-1-4-6-3-5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42236328125,0.013905303579978654,0.4072265625,0.4345703125,0.23905436197916666,0.008210835541812908,0.2342529296875,0.24853515625,0.57763671875,0.013905303579978654,0.5654296875,0.5927734375,0.015462239583333334,0.005886439231779012,0.00927734375,0.02099609375,0.09729063332391281,0.0015262597433145964,0.09581279999110848,0.09886109991930425,181.0,0.0,181.0,181.0,248.0,0.0,248.0,248.0,92.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,242.0,0.0,242.0,242.0,0.0,0.0,0.0,0.0,0.8653941804161193,0.0,0.8653941804161193,0.8653941804161193,0.42088561505791755,0.0,0.42088561505791755,0.42088561505791755,4.044799999999999e-05,0.0,4.044799999999999e-05,4.044799999999999e-05,0.021349999999999997,0.0,0.021349999999999997,0.021349999999999997,0.025800000000000045,0.0,0.025800000000000045,0.025800000000000045,9.732658242807076e-05,0.0,9.732658242807076e-05,9.732658242807076e-05,9.565223598225018e-05,0.0,9.565223598225018e-05,9.565223598225018e-05
fake_nairobi,FakeNairobiV2,4,gate_thermal,3,2048,4,2,6,True,False,True,3,1.0,0.4385029682449546,1.0,72,4-3-2-0-5-1,1-3-2-0-4-5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4560546875,0.006712757365657969,0.4501953125,0.46337890625,0.222412109375,0.003961176938375965,0.218017578125,0.2257080078125,0.5439453125,0.006712757365657969,0.53662109375,0.5498046875,0.025227864583333332,0.008601699389143107,0.02001953125,0.03515625,0.09815893329990406,0.0018960702435399822,0.09627769992221147,0.10006950004026294,190.0,0.0,190.0,190.0,246.0,0.0,246.0,246.0,94.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.8357893642050573,0.0,0.8357893642050573,0.8357893642050573,0.4335321315849941,0.0,0.4335321315849941,0.4335321315849941,3.9921777777777783e-05,0.0,3.9921777777777783e-05,3.9921777777777783e-05,0.026716666666666666,0.0,0.026716666666666666,0.026716666666666666,0.05800000000000005,0.0,0.05800000000000005,0.05800000000000005,9.940685236631248e-05,0.0,9.940685236631248e-05,9.940685236631248e-05,7.72489665936874e-05,0.0,7.72489665936874e-05,7.72489665936874e-05
fake_nairobi,FakeNairobiV2,4,gate_thermal,3,2048,4,2,6,True,False,True,3,1.0,0.4385029682449546,1.0,82,4-3-2-0-5-1,1-3-2-0-4-5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4560546875,0.006712757365657969,0.4501953125,0.46337890625,0.222412109375,0.003961176938375965,0.218017578125,0.2257080078125,0.5439453125,0.006712757365657969,0.53662109375,0.5498046875,0.025227864583333332,0.008601699389143107,0.02001953125,0.03515625,0.09978733335932095,0.00813015681614983,0.0946440000552684,0.10916039999574423,190.0,0.0,190.0,190.0,246.0,0.0,246.0,246.0,94.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.8357893642050573,0.0,0.8357893642050573,0.8357893642050573,0.4335321315849941,0.0,0.4335321315849941,0.4335321315849941,3.9921777777777783e-05,0.0,3.9921777777777783e-05,3.9921777777777783e-05,0.026716666666666666,0.0,0.026716666666666666,0.026716666666666666,0.05800000000000005,0.0,0.05800000000000005,0.05800000000000005,9.940685236631248e-05,0.0,9.940685236631248e-05,9.940685236631248e-05,7.72489665936874e-05,0.0,7.72489665936874e-05,7.72489665936874e-05
