condition,gate_error_enabled,readout_error_enabled,thermal_relaxation_enabled,seed_simulator,simulation_seconds,shots,observed_indices,coverage_fraction,modal_correct_indices,modal_amplitude_accuracy,normalized_modal_mae,correct_basis_shot_fraction,amplitude_bit_error_rate,joint_distribution_tvd,time_distribution_tvd,exact_reconstruction,backend_name,backend_class,backend_num_qubits,num_samples,amplitude_bits,time_bits,logical_qubits,data_seed,optimization_level,seed_transpiler,initial_layout,final_layout,transpiled_depth,transpiled_size,selected_readout_error_mean,selected_readout_error_max,selected_t1_seconds_mean,selected_t2_seconds_mean,two_qubit_gate_count,swap_count,calibrated_gate_count,missing_calibration_count,calibration_error_budget,independent_gate_success_proxy,calibrated_duration_seconds
full_calibration,True,True,True,62,0.11143809999339283,2048,4,1.0,4,1.0,0.0,0.3955078125,0.2513427734375,0.6044921875,0.0185546875,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,42,4-3-2-0-5-1,1-4-2-0-5-3,191,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.8193746061675562,0.4407071838945501,3.907555555555556e-05
ideal,False,False,False,42,0.022869599983096123,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.01318359375,0.01318359375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
ideal,False,False,False,52,0.02262269996572286,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.005859375,0.005859375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
ideal,False,False,False,62,0.024464800022542477,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.0224609375,0.0224609375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
readout_only,False,True,False,42,0.03328809991944581,2048,4,1.0,4,1.0,0.0,0.85986328125,0.049072265625,0.14013671875,0.0126953125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
readout_only,False,True,False,52,0.033631599973887205,2048,4,1.0,4,1.0,0.0,0.8466796875,0.0491943359375,0.1533203125,0.00341796875,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
readout_only,False,True,False,62,0.033153400057926774,2048,4,1.0,4,1.0,0.0,0.861328125,0.0457763671875,0.138671875,0.02197265625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
gate_thermal,True,False,True,42,0.10980149998795241,2048,4,1.0,4,1.0,0.0,0.470703125,0.220703125,0.529296875,0.01025390625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
gate_thermal,True,False,True,52,0.099005899974145,2048,4,1.0,4,1.0,0.0,0.4716796875,0.220703125,0.5283203125,0.017578125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
gate_thermal,True,False,True,62,0.09992149996105582,2048,4,1.0,4,1.0,0.0,0.45654296875,0.2232666015625,0.54345703125,0.00634765625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
