study,profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,runs,sample_hamming_weight_mean,sample_hamming_weight_std,sample_hamming_weight_min,sample_hamming_weight_max,sample_bit_density_mean,sample_bit_density_std,sample_bit_density_min,sample_bit_density_max,build_seconds_mean,build_seconds_std,build_seconds_min,build_seconds_max,transpile_seconds_mean,transpile_seconds_std,transpile_seconds_min,transpile_seconds_max,raw_depth_mean,raw_depth_std,raw_depth_min,raw_depth_max,raw_size_mean,raw_size_std,raw_size_min,raw_size_max,transpiled_depth_mean,transpiled_depth_std,transpiled_depth_min,transpiled_depth_max,transpiled_size_mean,transpiled_size_std,transpiled_size_min,transpiled_size_max,transpiled_cx_count_mean,transpiled_cx_count_std,transpiled_cx_count_min,transpiled_cx_count_max,transpiled_single_qubit_count_mean,transpiled_single_qubit_count_std,transpiled_single_qubit_count_min,transpiled_single_qubit_count_max,depth_overhead_ratio_mean,depth_overhead_ratio_std,depth_overhead_ratio_min,depth_overhead_ratio_max,size_overhead_ratio_mean,size_overhead_ratio_std,size_overhead_ratio_min,size_overhead_ratio_max
signal_length,random,16,4,4,8,256,5,34.6,5.319774431308154,27.0,41.0,0.540625,0.08312147548918991,0.421875,0.640625,0.0026611799839884043,0.0005697748841479604,0.002154799993149936,0.0036046999739483,0.019408100028522314,0.0018756453498920576,0.017954700044356287,0.022497600060887635,62.6,5.319774431308154,55.0,69.0,102.6,5.319774431308154,95.0,109.0,2029.8,338.6660597107422,1595.0,2474.0,2418.0,392.8199333027793,1911.0,2924.0,834.8,139.74691409830845,656.0,1014.0,1583.2,253.09622675970496,1255.0,1910.0,32.24482859531773,2.7295758980921523,29.0,35.85507246376812,23.459138000258232,2.6428231655942693,20.11578947368421,26.825688073394495
signal_length,dense,16,4,4,8,256,1,64.0,0.0,64.0,64.0,1.0,0.0,1.0,1.0,0.004211400053463876,0.0,0.004211400053463876,0.004211400053463876,0.017763800104148686,0.0,0.017763800104148686,0.017763800104148686,92.0,0.0,92.0,92.0,132.0,0.0,132.0,132.0,4096.0,0.0,4096.0,4096.0,4756.0,0.0,4756.0,4756.0,1640.0,0.0,1640.0,1640.0,3116.0,0.0,3116.0,3116.0,44.52173913043478,0.0,44.52173913043478,44.52173913043478,36.03030303030303,0.0,36.03030303030303,36.03030303030303
signal_length,sparse,32,4,5,9,512,1,32.0,0.0,32.0,32.0,0.25,0.0,0.25,0.25,0.0034806999610736966,0.0,0.0034806999610736966,0.0034806999610736966,0.017390499939210713,0.0,0.017390499939210713,0.017390499939210713,91.0,0.0,91.0,91.0,197.0,0.0,197.0,197.0,2711.0,0.0,2711.0,2711.0,3203.0,0.0,3203.0,3203.0,1058.0,0.0,1058.0,1058.0,2145.0,0.0,2145.0,2145.0,29.791208791208792,0.0,29.791208791208792,29.791208791208792,16.258883248730964,0.0,16.258883248730964,16.258883248730964
signal_length,random,32,4,5,9,512,5,67.4,4.09878030638384,62.0,71.0,0.5265625,0.03202172114362375,0.484375,0.5546875,0.005157939973287284,0.0005505490601510493,0.004544800030998886,0.005869099986739457,0.03628293997608125,0.013186658483203394,0.019114900031127036,0.048038699897006154,126.4,4.09878030638384,121.0,130.0,232.4,4.09878030638384,227.0,236.0,5759.0,387.4545134593221,5319.0,6148.0,6596.6,426.9101779063132,6119.0,7055.0,2228.4,148.80456982230083,2062.0,2384.0,4368.2,278.204421244523,4057.0,4671.0,45.52280996783858,1.6913034390641273,43.24390243902439,47.292307692307695,28.366761272179062,1.3680778379420158,26.72052401746725,29.89406779661017
signal_length,dense,32,4,5,9,512,1,128.0,0.0,128.0,128.0,1.0,0.0,1.0,1.0,0.008881399990059435,0.0,0.008881399990059435,0.008881399990059435,0.04971960000693798,0.0,0.04971960000693798,0.04971960000693798,187.0,0.0,187.0,187.0,293.0,0.0,293.0,293.0,11110.0,0.0,11110.0,11110.0,12779.0,0.0,12779.0,12779.0,4322.0,0.0,4322.0,4322.0,8457.0,0.0,8457.0,8457.0,59.411764705882355,0.0,59.411764705882355,59.411764705882355,43.61433447098976,0.0,43.61433447098976,43.61433447098976
amplitude_resolution,sparse,8,2,3,5,32,1,8.0,0.0,8.0,8.0,0.5,0.0,0.5,0.5,0.0009136999724432826,0.0,0.0009136999724432826,0.0009136999724432826,0.007257199962623417,0.0,0.007257199962623417,0.007257199962623417,21.0,0.0,21.0,21.0,35.0,0.0,35.0,35.0,218.0,0.0,218.0,218.0,263.0,0.0,263.0,263.0,110.0,0.0,110.0,110.0,153.0,0.0,153.0,153.0,10.380952380952381,0.0,10.380952380952381,10.380952380952381,7.514285714285714,0.0,7.514285714285714,7.514285714285714
amplitude_resolution,random,8,2,3,5,32,5,8.0,2.23606797749979,5.0,11.0,0.5,0.13975424859373686,0.3125,0.6875,0.0010700799757614732,0.0004070690320404409,0.0007470999844372272,0.0017761000199243426,0.00893578005488962,0.004984430818543634,0.00626140006352216,0.017809900105930865,21.0,2.23606797749979,18.0,24.0,35.0,2.23606797749979,32.0,38.0,209.8,60.50371889396552,128.0,291.0,257.0,66.18912297349165,168.0,346.0,104.8,32.66802718255267,60.0,148.0,152.2,33.55890343858095,108.0,198.0,9.832720057720058,1.8634691337463096,7.111111111111111,12.125,7.2696894196275,1.4341375952166677,5.25,9.105263157894736
amplitude_resolution,dense,8,2,3,5,32,1,16.0,0.0,16.0,16.0,1.0,0.0,1.0,1.0,0.0017631000373512506,0.0,0.0017631000373512506,0.0017631000373512506,0.010844499920494854,0.0,0.010844499920494854,0.010844499920494854,29.0,0.0,29.0,29.0,43.0,0.0,43.0,43.0,427.0,0.0,427.0,427.0,495.0,0.0,495.0,495.0,222.0,0.0,222.0,222.0,273.0,0.0,273.0,273.0,14.724137931034482,0.0,14.724137931034482,14.724137931034482,11.511627906976743,0.0,11.511627906976743,11.511627906976743
amplitude_resolution,sparse,8,3,3,6,64,1,8.0,0.0,8.0,8.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0008728998946025968,0.0,0.0008728998946025968,0.0008728998946025968,0.0068610000889748335,0.0,0.0068610000889748335,0.0068610000889748335,21.0,0.0,21.0,21.0,35.0,0.0,35.0,35.0,216.0,0.0,216.0,216.0,269.0,0.0,269.0,269.0,108.0,0.0,108.0,108.0,161.0,0.0,161.0,161.0,10.285714285714286,0.0,10.285714285714286,10.285714285714286,7.685714285714286,0.0,7.685714285714286,7.685714285714286
amplitude_resolution,random,8,3,3,6,64,5,14.6,2.9664793948382653,10.0,18.0,0.6083333333333334,0.12360330811826103,0.4166666666666667,0.75,0.0016732600051909685,0.0005943491179907196,0.0009129999671131372,0.002427200088277459,0.009995039994828403,0.0019200607725462363,0.008231400046497583,0.012379500083625317,27.6,2.9664793948382653,23.0,31.0,41.6,2.9664793948382653,37.0,45.0,377.0,81.28037893612455,252.0,477.0,448.8,90.6901317674641,308.0,559.0,195.2,42.67551991481768,130.0,248.0,253.6,48.065580200388716,178.0,311.0,13.526386537913838,1.6273305085849936,10.956521739130435,15.387096774193548,10.70583363202762,1.4931627975429527,8.324324324324325,12.422222222222222
