profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,seed,seed_transpiler,optimization_level,basis_gates,timing_repeats,sample_min,sample_max,sample_mean,sample_hamming_weight,sample_bit_density,build_seconds,transpile_seconds,transpile_seconds_min,transpile_seconds_max,raw_depth,raw_size,raw_operations,transpiled_depth,transpiled_size,transpiled_operations,transpiled_cx_count,transpiled_single_qubit_count,depth_overhead_ratio,size_overhead_ratio,study
dense,8,5,3,8,256,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,31,31,31.0,40,1.0,0.002567299990914762,0.009981099981814623,0.009627599967643619,0.011095499969087541,53,67,"{""h"": 3, ""mcx"": 40, ""x"": 24}",1045,1209,"{""cx"": 552, ""rz"": 625, ""sx"": 21, ""x"": 11}",552,657,19.71698113207547,18.044776119402986,amplitude_resolution
sparse,8,6,3,9,512,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,32,8.25,8,0.16666666666666666,0.0008843999821692705,0.00778290000744164,0.006913800025358796,0.008471500012092292,21,35,"{""h"": 3, ""mcx"": 8, ""x"": 24}",208,287,"{""cx"": 102, ""rz"": 149, ""sx"": 25, ""x"": 11}",102,185,9.904761904761905,8.2,amplitude_resolution
random,8,6,3,9,512,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,2,62,26.375,23,0.4791666666666667,0.0018149999668821692,0.014181700069457293,0.011299799894914031,0.08337320003192872,36,50,"{""h"": 3, ""mcx"": 23, ""x"": 24}",546,669,"{""cx"": 284, ""rz"": 347, ""sx"": 27, ""x"": 11}",284,385,15.166666666666666,13.38,amplitude_resolution
random,8,6,3,9,512,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,61,37.375,24,0.5,0.0017191000515595078,0.011905899969860911,0.01154330000281334,0.012440099962987006,37,51,"{""h"": 3, ""mcx"": 24, ""x"": 24}",405,527,"{""cx"": 214, ""rz"": 275, ""sx"": 27, ""x"": 11}",214,313,10.945945945945946,10.333333333333334,amplitude_resolution
random,8,6,3,9,512,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,7,62,33.75,27,0.5625,0.0019884000066667795,0.010844100033864379,0.01078020001295954,0.011285700020380318,40,54,"{""h"": 3, ""mcx"": 27, ""x"": 24}",592,718,"{""cx"": 314, ""rz"": 372, ""sx"": 21, ""x"": 11}",314,404,14.8,13.296296296296296,amplitude_resolution
random,8,6,3,9,512,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,5,62,27.5,26,0.5416666666666666,0.0018437000690028071,0.011533199925906956,0.011069700005464256,0.012122799991630018,39,53,"{""h"": 3, ""mcx"": 26, ""x"": 24}",527,654,"{""cx"": 278, ""rz"": 340, ""sx"": 25, ""x"": 11}",278,376,13.512820512820513,12.339622641509434,amplitude_resolution
random,8,6,3,9,512,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,5,61,31.5,24,0.5,0.0018097000429406762,0.010947200004011393,0.010539099923335016,0.011664499994367361,37,51,"{""h"": 3, ""mcx"": 24, ""x"": 24}",491,611,"{""cx"": 258, ""rz"": 317, ""sx"": 25, ""x"": 11}",258,353,13.27027027027027,11.980392156862745,amplitude_resolution
dense,8,6,3,9,512,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,63,63,63.0,48,1.0,0.003393299994058907,0.012153799994848669,0.011304400046356022,0.012699299957603216,61,75,"{""h"": 3, ""mcx"": 48, ""x"": 24}",1251,1447,"{""cx"": 662, ""rz"": 749, ""sx"": 25, ""x"": 11}",662,785,20.508196721311474,19.293333333333333,amplitude_resolution
sparse,8,7,3,10,1024,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,64,16.0,8,0.14285714285714285,0.0008486000588163733,0.006671199924312532,0.006504000048153102,0.00681229995097965,21,35,"{""h"": 3, ""mcx"": 8, ""x"": 24}",206,293,"{""cx"": 100, ""rz"": 153, ""sx"": 29, ""x"": 11}",100,193,9.80952380952381,8.371428571428572,amplitude_resolution
random,8,7,3,10,1024,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,106,54.125,20,0.35714285714285715,0.0014616999542340636,0.014575099921785295,0.011150900041684508,0.022542200051248074,33,47,"{""h"": 3, ""mcx"": 20, ""x"": 24}",375,487,"{""cx"": 198, ""rz"": 254, ""sx"": 25, ""x"": 10}",198,289,11.363636363636363,10.361702127659575,amplitude_resolution
random,8,7,3,10,1024,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,8,98,48.875,25,0.44642857142857145,0.0018969000084325671,0.01213869999628514,0.011383199947886169,0.02053680003155023,38,52,"{""h"": 3, ""mcx"": 25, ""x"": 24}",533,663,"{""cx"": 280, ""rz"": 345, ""sx"": 27, ""x"": 11}",280,383,14.026315789473685,12.75,amplitude_resolution
random,8,7,3,10,1024,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,123,70.5,24,0.42857142857142855,0.001705799950286746,0.010505200014449656,0.010235299938358366,0.011753300088457763,37,51,"{""h"": 3, ""mcx"": 24, ""x"": 24}",562,685,"{""cx"": 296, ""rz"": 355, ""sx"": 23, ""x"": 11}",296,389,15.18918918918919,13.431372549019608,amplitude_resolution
random,8,7,3,10,1024,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,3,127,65.0,29,0.5178571428571429,0.0019851999823004007,0.013079200056381524,0.012196799973025918,0.013199099921621382,42,56,"{""h"": 3, ""mcx"": 29, ""x"": 24}",644,781,"{""cx"": 342, ""rz"": 405, ""sx"": 23, ""x"": 11}",342,439,15.333333333333334,13.946428571428571,amplitude_resolution
random,8,7,3,10,1024,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,2,69,40.125,27,0.48214285714285715,0.0018672000151127577,0.014226200059056282,0.013230300042778254,0.018026200006715953,40,54,"{""h"": 3, ""mcx"": 27, ""x"": 24}",468,609,"{""cx"": 248, ""rz"": 319, ""sx"": 31, ""x"": 11}",248,361,11.7,11.277777777777779,amplitude_resolution
dense,8,7,3,10,1024,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,127,127,127.0,56,1.0,0.004123399965465069,0.013456800021231174,0.012716699973680079,0.017837299965322018,69,83,"{""h"": 3, ""mcx"": 56, ""x"": 24}",1457,1685,"{""cx"": 772, ""rz"": 873, ""sx"": 29, ""x"": 11}",772,913,21.115942028985508,20.301204819277107,amplitude_resolution
sparse,8,8,3,11,2048,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,128,31.875,8,0.125,0.0008625999325886369,0.006999399978667498,0.0069642000598832965,0.007542999926954508,21,35,"{""h"": 3, ""mcx"": 8, ""x"": 24}",203,299,"{""cx"": 98, ""rz"": 157, ""sx"": 33, ""x"": 11}",98,201,9.666666666666666,8.542857142857143,amplitude_resolution
random,8,8,3,11,2048,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,25,241,87.25,31,0.484375,0.0021386001026257873,0.013213400030508637,0.011855499935336411,0.014745300053618848,44,58,"{""h"": 3, ""mcx"": 31, ""x"": 24}",673,825,"{""cx"": 356, ""rz"": 429, ""sx"": 29, ""x"": 11}",356,469,15.295454545454545,14.224137931034482,amplitude_resolution
random,8,8,3,11,2048,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,53,211,110.0,36,0.5625,0.0022775999968871474,0.01425729994662106,0.014255200047045946,0.01443990005645901,49,63,"{""h"": 3, ""mcx"": 36, ""x"": 24}",763,942,"{""cx"": 402, ""rz"": 492, ""sx"": 37, ""x"": 11}",402,540,15.571428571428571,14.952380952380953,amplitude_resolution
random,8,8,3,11,2048,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,6,135,71.625,19,0.296875,0.001400599954649806,0.010559200076386333,0.009564099949784577,0.010773199959658086,32,46,"{""h"": 3, ""mcx"": 19, ""x"": 24}",416,543,"{""cx"": 212, ""rz"": 283, ""sx"": 37, ""x"": 11}",212,331,13.0,11.804347826086957,amplitude_resolution
random,8,8,3,11,2048,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,24,232,157.0,35,0.546875,0.002341600018553436,0.012831400032155216,0.012386799906380475,0.013322500046342611,48,62,"{""h"": 3, ""mcx"": 35, ""x"": 24}",751,913,"{""cx"": 400, ""rz"": 475, ""sx"": 27, ""x"": 11}",400,513,15.645833333333334,14.725806451612904,amplitude_resolution
random,8,8,3,11,2048,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,6,220,105.25,31,0.484375,0.002791699953377247,0.012295400025323033,0.012146199936978519,0.015003600041382015,44,58,"{""h"": 3, ""mcx"": 31, ""x"": 24}",630,781,"{""cx"": 336, ""rz"": 407, ""sx"": 27, ""x"": 11}",336,445,14.318181818181818,13.46551724137931,amplitude_resolution
dense,8,8,3,11,2048,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,255,255,255.0,64,1.0,0.0036699000047519803,0.01375380007084459,0.013608200009912252,0.014884999953210354,77,91,"{""h"": 3, ""mcx"": 64, ""x"": 24}",1663,1923,"{""cx"": 882, ""rz"": 997, ""sx"": 33, ""x"": 11}",882,1041,21.5974025974026,21.13186813186813,amplitude_resolution
