profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,seed,seed_transpiler,optimization_level,basis_gates,timing_repeats,sample_min,sample_max,sample_mean,sample_hamming_weight,sample_bit_density,build_seconds,transpile_seconds,transpile_seconds_min,transpile_seconds_max,raw_depth,raw_size,raw_operations,transpiled_depth,transpiled_size,transpiled_operations,transpiled_cx_count,transpiled_single_qubit_count,depth_overhead_ratio,size_overhead_ratio,study
random,8,4,3,7,128,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,5,15,10.375,20,0.625,0.0013916000025346875,0.010751000023446977,0.009237500024028122,0.014910500030964613,33,47,"{""h"": 3, ""mcx"": 20, ""x"": 24}",453,550,"{""cx"": 236, ""rz"": 284, ""sx"": 19, ""x"": 11}",236,314,13.727272727272727,11.702127659574469,signal_length
random,8,4,3,7,128,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,14,7.125,17,0.53125,0.001690200064331293,0.01004830002784729,0.009724700008518994,0.010908499942161143,30,44,"{""h"": 3, ""mcx"": 17, ""x"": 24}",371,463,"{""cx"": 190, ""rz"": 239, ""sx"": 23, ""x"": 11}",190,273,12.366666666666667,10.522727272727273,signal_length
random,8,4,3,7,128,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,2,13,7.0,15,0.46875,0.0011234000558033586,0.008738300064578652,0.008644599933177233,0.009649400017224252,28,42,"{""h"": 3, ""mcx"": 15, ""x"": 24}",339,421,"{""cx"": 174, ""rz"": 217, ""sx"": 19, ""x"": 11}",174,247,12.107142857142858,10.023809523809524,signal_length
random,8,4,3,7,128,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,13,5.0,16,0.5,0.0012512999819591641,0.009914099937304854,0.008621699991635978,0.011213900055736303,29,43,"{""h"": 3, ""mcx"": 16, ""x"": 24}",399,487,"{""cx"": 204, ""rz"": 251, ""sx"": 21, ""x"": 11}",204,283,13.758620689655173,11.325581395348838,signal_length
random,8,4,3,7,128,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,14,6.25,16,0.5,0.0012607000535354018,0.009213799959979951,0.009002999984659255,0.009614399983547628,29,43,"{""h"": 3, ""mcx"": 16, ""x"": 24}",403,486,"{""cx"": 208, ""rz"": 250, ""sx"": 17, ""x"": 11}",208,278,13.89655172413793,11.30232558139535,signal_length
dense,8,4,3,7,128,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,15,15,15.0,32,1.0,0.001976400031708181,0.00915489997714758,0.0083769999910146,0.009284000028856099,45,59,"{""h"": 3, ""mcx"": 32, ""x"": 24}",839,971,"{""cx"": 442, ""rz"": 501, ""sx"": 17, ""x"": 11}",442,529,18.644444444444446,16.45762711864407,signal_length
sparse,16,4,4,8,256,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,8,3.75,16,0.25,0.0014734999276697636,0.008970699971541762,0.008898000000044703,0.009055500035174191,44,84,"{""h"": 4, ""mcx"": 16, ""x"": 64}",977,1180,"{""cx"": 392, ""rz"": 616, ""sx"": 146, ""x"": 26}",392,788,22.204545454545453,14.047619047619047,signal_length
random,16,4,4,8,256,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,15,7.4375,32,0.5,0.002278400002978742,0.018593200016766787,0.017792799975723028,0.018697099993005395,60,100,"{""h"": 4, ""mcx"": 32, ""x"": 64}",1807,2155,"{""cx"": 738, ""rz"": 1133, ""sx"": 258, ""x"": 26}",738,1417,30.116666666666667,21.55,signal_length
random,16,4,4,8,256,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,14,7.5625,27,0.421875,0.002154799993149936,0.01815679995343089,0.017915799980983138,0.02023720007855445,55,95,"{""h"": 4, ""mcx"": 27, ""x"": 64}",1595,1911,"{""cx"": 656, ""rz"": 1003, ""sx"": 228, ""x"": 24}",656,1255,29.0,20.11578947368421,signal_length
random,16,4,4,8,256,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,15,9.3125,37,0.578125,0.0026783000212162733,0.019838200067169964,0.018928200006484985,0.02138399996329099,65,105,"{""h"": 4, ""mcx"": 37, ""x"": 64}",2135,2558,"{""cx"": 886, ""rz"": 1346, ""sx"": 302, ""x"": 24}",886,1672,32.84615384615385,24.36190476190476,signal_length
random,16,4,4,8,256,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,4,15,11.125,41,0.640625,0.0036046999739483,0.022497600060887635,0.02116769994609058,0.022982400027103722,69,109,"{""h"": 4, ""mcx"": 41, ""x"": 64}",2474,2924,"{""cx"": 1014, ""rz"": 1538, ""sx"": 346, ""x"": 26}",1014,1910,35.85507246376812,26.825688073394495,signal_length
random,16,4,4,8,256,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,2,14,8.5625,36,0.5625,0.00258969992864877,0.017954700044356287,0.017422799952328205,0.018206899985671043,64,104,"{""h"": 4, ""mcx"": 36, ""x"": 64}",2138,2542,"{""cx"": 880, ""rz"": 1336, ""sx"": 300, ""x"": 26}",880,1662,33.40625,24.442307692307693,signal_length
